date,dow,buy_open,buy_close,buy_high,buy_low,sell_close,spread,num_changes
2026-06-26,Fri,333,333,333,333,341.5,8.5,0
2026-06-29,Mon,333,333,333,333,341.5,8.5,0
2026-06-30,Tue,333,332.5,333,332.5,340.75,8.25,1
2026-07-01,Wed,332.5,332.25,332.5,332.25,340.5,8.25,1
2026-07-02,Thu,332.1,332.1,332.1,332.1,340.4,8.3,0
2026-07-03,Fri,331.5,331.5,331.5,331.5,339.75,8.25,0
2026-07-06,Mon,331,331,331,331,339.4,8.4,0
2026-07-07,Tue,330.5,330.5,330.5,330.5,338.75,8.25,0
2026-07-08,Wed,330.6,331.3,331.3,330.6,339.6,8.3,1
2026-07-09,Thu,332,332,332,332,340.5,8.5,0
2026-07-10,Fri,331.5,331.5,331.5,331.5,339.75,8.25,0
